treatment,density,similar_wanted,income_gap,use_affordability,n,tick_mean,tick_ci95,percent_similar_mean,percent_similar_ci95,percent_unhappy_mean,percent_unhappy_ci95,stuck_unhappy_fraction_mean,stuck_unhappy_fraction_ci95,isolation_blue_mean,isolation_blue_ci95,isolation_orange_mean,isolation_orange_ci95,dissimilarity_mean,dissimilarity_ci95,mean_rent_blue_mean,mean_rent_blue_ci95,mean_rent_orange_mean,mean_rent_orange_ci95
T1_preference_only,80.0,15.0,0.0,false,30,5.200000,0.424450,54.448611,0.265653,0.000000,0.000000,0.000000,0.000000,54.150571,0.489416,54.699368,0.405166,0.218560,0.005364,28.457347,0.144467,28.658187,0.138802
T1_preference_only,80.0,20.0,0.0,false,30,7.300000,0.489662,57.955366,0.378189,0.000000,0.000000,0.000000,0.000000,57.844405,0.434494,58.048743,0.439537,0.246518,0.006865,28.467360,0.158604,28.481492,0.167263
T1_preference_only,80.0,25.0,0.0,false,30,7.700000,0.610113,59.498404,0.280959,0.000000,0.000000,0.000000,0.000000,59.400710,0.346273,59.571350,0.411805,0.264597,0.006494,28.520640,0.160412,28.564244,0.161013
T1_preference_only,80.0,30.0,0.0,false,30,13.833333,1.071821,72.690817,0.353108,0.000000,0.000000,0.000000,0.000000,72.702450,0.397413,72.666297,0.373534,0.365020,0.009947,28.500056,0.188049,28.503256,0.191415
T1_preference_only,80.0,35.0,0.0,false,30,13.900000,1.097334,77.400143,0.363860,0.000000,0.000000,0.000000,0.000000,77.400522,0.401500,77.388863,0.370182,0.418423,0.010606,28.631358,0.240447,28.578036,0.192806
T1_preference_only,80.0,40.0,0.0,false,30,16.133333,1.195119,80.705585,0.274660,0.000000,0.000000,0.000000,0.000000,80.730504,0.352979,80.656764,0.291531,0.443993,0.010971,28.335222,0.292995,28.724939,0.283117
T1_preference_only,80.0,45.0,0.0,false,30,18.133333,1.149928,87.087960,0.232729,0.000000,0.000000,0.000016,0.000031,87.074630,0.264953,87.094689,0.222675,0.539358,0.011207,28.378855,0.317649,28.769794,0.284654
T1_preference_only,80.0,50.0,0.0,false,30,19.566667,0.928799,87.109281,0.241942,0.000000,0.000000,0.000000,0.000000,87.153369,0.268803,87.058507,0.233235,0.523364,0.010862,28.690250,0.300572,28.487155,0.302940
T1_preference_only,80.0,55.0,0.0,false,30,31.400000,2.162646,93.921226,0.194371,0.000000,0.000000,0.000016,0.000032,93.954830,0.205212,93.881255,0.196501,0.635220,0.010270,28.514047,0.498027,28.649760,0.482993
T1_preference_only,80.0,60.0,0.0,false,30,40.166667,2.544416,96.724451,0.064578,0.000000,0.000000,0.000000,0.000000,96.718298,0.071491,96.727312,0.067734,0.688999,0.008597,28.500580,0.343885,28.611499,0.370463
T1_preference_only,80.0,65.0,0.0,false,30,52.866667,3.123490,98.202510,0.050102,0.000000,0.000000,0.000000,0.000000,98.208260,0.052786,98.194827,0.051940,0.727385,0.007942,28.482145,0.480330,28.608677,0.486168
T1_preference_only,80.0,70.0,0.0,false,30,76.400000,3.829517,99.545429,0.027104,0.000000,0.000000,0.000016,0.000032,99.543854,0.028133,99.546557,0.026583,0.800863,0.009302,28.734857,0.620863,28.454266,0.600504
T2_income_only,80.0,0.0,0.0,true,30,1.000000,0.000000,49.843247,0.214195,0.000000,0.000000,0.000000,0.000000,50.081873,0.407381,49.569426,0.377610,0.183919,0.005313,25.559533,0.136931,25.540936,0.111010
T2_income_only,80.0,0.0,0.25,true,30,1.000000,0.000000,50.115631,0.225856,0.000000,0.000000,0.000000,0.000000,49.785958,0.345696,50.406789,0.460170,0.190954,0.005878,26.049535,0.123353,25.159682,0.154114
T2_income_only,80.0,0.0,0.5,true,30,1.000000,0.000000,49.974068,0.201421,0.000000,0.000000,0.000000,0.000000,49.187670,0.470066,50.677297,0.515067,0.192377,0.005290,26.487402,0.123687,24.788217,0.145263
T2_income_only,80.0,0.0,0.75,true,30,1.000000,0.000000,50.216887,0.238903,0.000000,0.000000,0.000000,0.000000,49.162569,0.337912,51.200374,0.435560,0.201715,0.004990,26.854996,0.110512,24.353883,0.091743
T2_income_only,80.0,0.0,1.0,true,30,1.000000,0.000000,50.704495,0.196274,0.000000,0.000000,0.000000,0.000000,49.759682,0.466429,51.571026,0.394983,0.213716,0.004424,27.269215,0.104559,24.056047,0.111854
T3_combined,80.0,30.0,0.0,true,30,14.633333,1.164239,73.805473,0.456381,0.000000,0.000000,0.000000,0.000000,73.895211,0.470735,73.699538,0.501122,0.381717,0.011270,26.117442,0.192452,26.129324,0.194679
T3_combined,80.0,30.0,0.25,true,30,14.366667,1.077573,73.705489,0.337684,0.000000,0.000000,0.000000,0.000000,73.646629,0.378896,73.752584,0.354697,0.382962,0.009303,26.757864,0.183171,25.331771,0.150970
T3_combined,80.0,30.0,0.5,true,30,13.333333,1.323455,74.388080,0.382780,0.000000,0.000000,0.000000,0.000000,74.059170,0.380969,74.693315,0.444983,0.401423,0.009650,27.268152,0.180603,24.968219,0.164132
T3_combined,80.0,30.0,0.75,true,30,14.200000,0.858212,74.240701,0.417494,0.000000,0.000000,0.000000,0.000000,73.463900,0.452873,74.953214,0.462683,0.404171,0.009789,28.007220,0.208424,24.256788,0.166167
T3_combined,80.0,30.0,1.0,true,30,14.133333,1.019674,74.849295,0.390903,0.000000,0.000000,0.000000,0.000000,74.094408,0.448155,75.540612,0.424911,0.422652,0.010153,28.484786,0.212399,23.660628,0.162624
