source,density,similar_wanted,n,ticks_mean,ticks_ci95,population_mean,population_ci95,percent_similar_mean,percent_similar_ci95,percent_unhappy_mean,percent_unhappy_ci95,unhappy_count_mean,unhappy_count_ci95
netlogo,70,15,30,4.533333,0.545809,1818.633333,9.220784,54.247302,0.250176,0.000000,0.000000,0.000000,0.000000
netlogo,70,20,30,7.066667,0.531048,1813.633333,8.551957,58.288123,0.351422,0.000000,0.000000,0.000000,0.000000
netlogo,70,25,30,8.266667,0.539299,1819.733333,8.244614,62.095269,0.430918,0.000000,0.000000,0.000000,0.000000
netlogo,70,30,30,12.366667,0.983299,1823.100000,7.097027,72.128385,0.384369,0.000000,0.000000,0.000000,0.000000
netlogo,70,35,30,14.200000,0.987406,1818.433333,9.004279,79.408703,0.316859,0.000000,0.000000,0.000000,0.000000
netlogo,70,40,30,14.566667,0.924033,1820.800000,8.358688,80.339960,0.253720,0.000000,0.000000,0.000000,0.000000
netlogo,70,45,30,17.633333,1.073468,1821.800000,7.209405,87.714369,0.266652,0.000000,0.000000,0.000000,0.000000
netlogo,70,50,30,18.200000,1.156310,1816.100000,7.730735,87.967026,0.205188,0.000000,0.000000,0.000000,0.000000
netlogo,70,55,30,26.300000,1.875145,1818.833333,8.589361,94.570883,0.164706,0.000000,0.000000,0.000000,0.000000
netlogo,70,60,30,31.233333,1.653752,1822.933333,8.519081,96.254087,0.089782,0.000000,0.000000,0.000000,0.000000
netlogo,70,65,30,37.666667,2.162101,1812.266667,8.950790,98.399015,0.062193,0.000000,0.000000,0.000000,0.000000
netlogo,70,70,30,59.433333,2.798309,1821.533333,8.903206,99.594214,0.030204,0.000000,0.000000,0.000000,0.000000
netlogo,80,15,30,5.233333,0.520550,2077.866667,7.571089,54.429940,0.279925,0.000000,0.000000,0.000000,0.000000
netlogo,80,20,30,7.133333,0.467361,2080.933333,9.302050,57.529200,0.332931,0.000000,0.000000,0.000000,0.000000
netlogo,80,25,30,7.900000,0.550776,2078.666667,6.214665,59.658711,0.373127,0.000000,0.000000,0.000000,0.000000
