source,run_number,density,similar_wanted,ticks,population,percent_similar,percent_unhappy,unhappy_count
netlogo,2,70,15,3,1814,54.73186119873817,0,0
netlogo,4,70,15,3,1839,53.998476770754,0,0
netlogo,1,70,15,4,1818,53.71238765142634,0,0
netlogo,3,70,15,5,1791,54.02020202020202,0,0
netlogo,5,70,15,4,1790,56.03465645778763,0,0
netlogo,6,70,15,4,1798,53.941576630652264,0,0
netlogo,8,70,15,3,1822,54.314720812182735,0,0
netlogo,7,70,15,7,1821,54.283473828661045,0,0
netlogo,10,70,15,3,1817,54.944838455476756,0,0
netlogo,9,70,15,5,1803,53.92680514342235,0,0
netlogo,11,70,15,4,1868,53.56419230060785,0,0
netlogo,12,70,15,4,1797,53.682520569937786,0,0
netlogo,14,70,15,5,1823,54.79053529868116,0,0
netlogo,16,70,15,4,1813,55.29341792228391,0,0
netlogo,15,70,15,7,1813,54.230921312771855,0,0
netlogo,13,70,15,9,1810,54.55623641035778,0,0
netlogo,20,70,15,3,1762,53.60587002096436,0,0
netlogo,19,70,15,5,1796,53.94182547642929,0,0
netlogo,17,70,15,8,1825,53.041456799690046,0,0
netlogo,18,70,15,4,1863,53.94074902179988,0,0
netlogo,21,70,15,4,1802,55.229212145266914,0,0
netlogo,24,70,15,4,1817,54.71476181140953,0,0
netlogo,23,70,15,5,1832,54.42673324371039,0,0
netlogo,22,70,15,5,1820,54.673721340388006,0,0
netlogo,25,70,15,3,1849,52.84983904563529,0,0
netlogo,26,70,15,3,1877,53.22283609576427,0,0
netlogo,28,70,15,4,1810,55.0899387230678,0,0
netlogo,29,70,15,4,1780,54.054054054054056,0,0
netlogo,30,70,15,4,1839,54.601226993865026,0,0
netlogo,27,70,15,6,1850,54,0,0
netlogo,31,70,20,6,1846,56.11249282571264,0,0
netlogo,32,70,20,6,1791,58.2262996941896,0,0
netlogo,33,70,20,5,1823,56.89688906280571,0,0
netlogo,34,70,20,10,1778,58.21266032271411,0,0
netlogo,36,70,20,5,1787,56.846810239739945,0,0
netlogo,35,70,20,6,1793,57.953861584754264,0,0
netlogo,37,70,20,7,1845,59.60038058991437,0,0
netlogo,38,70,20,8,1773,59.78171334431631,0,0
netlogo,39,70,20,8,1781,57.44854289790096,0,0
netlogo,41,70,20,8,1821,58.05134189031506,0,0
netlogo,40,70,20,8,1819,58.083003952569165,0,0
netlogo,42,70,20,6,1847,58.06512684589171,0,0
netlogo,43,70,20,6,1836,57.53846153846154,0,0
netlogo,44,70,20,8,1780,58.14335592524132,0,0
netlogo,46,70,20,7,1785,58.722709651091606,0,0
netlogo,45,70,20,11,1794,60.492591109331194,0,0
netlogo,47,70,20,7,1788,59.38261575954509,0,0
netlogo,48,70,20,7,1821,58.719346049046315,0,0
netlogo,49,70,20,7,1830,58.84622805325102,0,0
netlogo,51,70,20,5,1823,59.78004713275726,0,0
netlogo,50,70,20,9,1844,59.12926735711545,0,0
netlogo,52,70,20,6,1838,58.86619583890056,0,0
netlogo,55,70,20,5,1826,57.909002904162634,0,0
netlogo,54,70,20,9,1830,58.04953560371517,0,0
netlogo,56,70,20,8,1796,58.803175249338494,0,0
netlogo,58,70,20,6,1840,57.87461773700306,0,0
netlogo,57,70,20,7,1813,56.94942254082039,0,0
netlogo,59,70,20,8,1828,57.92445482866043,0,0
netlogo,60,70,20,6,1800,57.3816717019134,0,0
netlogo,61,70,25,8,1823,60.79907353792704,0,0
netlogo,53,70,20,7,1833,58.85185898670776,0,0
netlogo,62,70,25,6,1807,60.34720852239101,0,0
netlogo,63,70,25,8,1785,65.03368034292713,0,0
netlogo,64,70,25,9,1791,62.54045307443366,0,0
netlogo,65,70,25,7,1810,61.7578125,0,0
netlogo,66,70,25,7,1824,63.2546439628483,0,0
netlogo,69,70,25,8,1801,61.47867676365085,0,0
netlogo,67,70,25,9,1821,64.07917717834272,0,0
netlogo,68,70,25,9,1835,62.35922886046955,0,0
netlogo,70,70,25,7,1818,62.14898595943838,0,0
netlogo,71,70,25,7,1771,60.92024539877301,0,0
netlogo,73,70,25,7,1819,60.37735849056604,0,0
netlogo,72,70,25,9,1837,62.226450999048524,0,0
netlogo,74,70,25,7,1815,61.75837086352066,0,0
netlogo,75,70,25,8,1852,62.12806026365348,0,0
netlogo,76,70,25,7,1831,60.023041474654384,0,0
netlogo,78,70,25,10,1817,62.40062051580376,0,0
netlogo,77,70,25,13,1803,61.73620723749258,0,0
netlogo,79,70,25,9,1815,62.64989188126597,0,0
netlogo,80,70,25,10,1834,63.50574712643679,0,0
netlogo,81,70,25,8,1808,63.26450344149459,0,0
netlogo,82,70,25,8,1850,59.74901666978835,0,0
netlogo,83,70,25,10,1826,60.83606241571952,0,0
netlogo,84,70,25,9,1844,62.81302956128789,0,0
netlogo,85,70,25,7,1816,62.6487224497757,0,0
netlogo,86,70,25,9,1870,62.81083072389022,0,0
netlogo,87,70,25,7,1772,63.18060406821451,0,0
netlogo,88,70,25,7,1811,62.26267371305539,0,0
netlogo,90,70,25,7,1828,61.513347416938736,0,0
netlogo,89,70,25,11,1858,62.25435669262143,0,0
netlogo,91,70,30,11,1807,71.43428685737148,0,0
netlogo,92,70,30,8,1849,72.29551451187335,0,0
netlogo,96,70,30,11,1799,72.63869556571883,0,0
netlogo,94,70,30,10,1805,73.64418651190714,0,0
netlogo,95,70,30,12,1805,70.29072082835523,0,0
netlogo,93,70,30,16,1824,71.6796875,0,0
netlogo,97,70,30,10,1781,71.88194865575096,0,0
netlogo,99,70,30,10,1785,71.86103210077205,0,0
netlogo,98,70,30,15,1806,71.81406342328145,0,0
netlogo,100,70,30,11,1830,71.10082899556583,0,0
netlogo,101,70,30,10,1823,70.94896176984281,0,0
netlogo,103,70,30,11,1817,71.11721971333202,0,0
netlogo,102,70,30,18,1843,71.60823170731707,0,0
netlogo,104,70,30,13,1830,73.53511835467597,0,0
netlogo,105,70,30,13,1829,71.84654136795194,0,0
netlogo,107,70,30,10,1795,71.7163577759871,0,0
netlogo,108,70,30,11,1814,72.67567038559405,0,0
netlogo,109,70,30,11,1816,73.13019390581718,0,0
netlogo,106,70,30,16,1864,73.74976761479829,0,0
netlogo,111,70,30,9,1845,71.56190476190476,0,0
netlogo,110,70,30,12,1832,71.65078747812561,0,0
netlogo,113,70,30,11,1827,75.53356616220411,0,0
netlogo,112,70,30,19,1809,71.89296333002973,0,0
netlogo,114,70,30,12,1829,72.63219058686809,0,0
netlogo,115,70,30,12,1837,71.9224121375072,0,0
netlogo,117,70,30,13,1827,71.93359375,0,0
netlogo,116,70,30,17,1839,73.19019570587118,0,0
netlogo,119,70,30,10,1850,72.03630175836642,0,0
netlogo,118,70,30,14,1830,70.39309683604985,0,0
netlogo,121,70,35,12,1811,79.47971267715008,0,0
netlogo,122,70,35,12,1866,79.07703621989336,0,0
netlogo,120,70,30,15,1846,72.13551579748763,0,0
netlogo,123,70,35,15,1856,79.02466578798719,0,0
netlogo,125,70,35,12,1821,78.71401151631477,0,0
netlogo,126,70,35,13,1828,79.9543118218161,0,0
netlogo,127,70,35,14,1828,80.0498753117207,0,0
netlogo,124,70,35,21,1820,79.89601386481803,0,0
netlogo,128,70,35,14,1823,80.14551024315527,0,0
netlogo,129,70,35,17,1831,78.31462811489442,0,0
netlogo,130,70,35,13,1796,79.11367249602543,0,0
netlogo,131,70,35,15,1790,79.0608625554212,0,0
netlogo,133,70,35,13,1815,79.78184651343982,0,0
netlogo,132,70,35,14,1848,79.52057380143451,0,0
netlogo,134,70,35,11,1776,82.0125025206695,0,0
netlogo,135,70,35,13,1838,79.6780303030303,0,0
netlogo,137,70,35,11,1829,79.34761629029144,0,0
netlogo,136,70,35,15,1842,79.50216858382048,0,0
netlogo,138,70,35,12,1763,79.32949403537638,0,0
netlogo,139,70,35,12,1822,80.48211508553655,0,0
netlogo,140,70,35,11,1856,79.71041395953222,0,0
netlogo,141,70,35,16,1789,79.85340729001584,0,0
netlogo,142,70,35,11,1809,77.44830277019118,0,0
netlogo,143,70,35,12,1825,77.56434882827506,0,0
netlogo,146,70,35,13,1816,78.86022333461686,0,0
netlogo,144,70,35,21,1789,80.62153602533651,0,0
netlogo,145,70,35,18,1848,78.73168922677544,0,0
netlogo,147,70,35,15,1778,79.87915407854985,0,0
netlogo,151,70,40,13,1847,79.15396341463415,0,0
netlogo,150,70,35,15,1810,79.14490230218611,0,0
netlogo,148,70,35,18,1804,79.48265726043505,0,0
netlogo,149,70,35,17,1826,78.47980088071989,0,0
netlogo,152,70,40,15,1840,81.09139477199008,0,0
netlogo,154,70,40,13,1841,80.72037914691943,0,0
netlogo,153,70,40,16,1843,80.34671188995665,0,0
netlogo,155,70,40,21,1881,80.71297989031079,0,0
netlogo,157,70,40,15,1822,80.72825876428433,0,0
netlogo,158,70,40,17,1853,81.14125350795136,0,0
netlogo,156,70,40,15,1812,79.5325083480652,0,0
netlogo,159,70,40,10,1781,80.00407664084794,0,0
netlogo,160,70,40,13,1803,80.90312313507062,0,0
netlogo,162,70,40,17,1797,80.96754927334263,0,0
netlogo,161,70,40,18,1815,79.8352295017654,0,0
netlogo,163,70,40,14,1842,79.47269303201506,0,0
netlogo,164,70,40,13,1806,79.57032027053909,0,0
netlogo,166,70,40,10,1830,80.84415584415584,0,0
netlogo,165,70,40,16,1822,81.00428182172051,0,0
netlogo,167,70,40,18,1833,80.1219744615971,0,0
