"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"netlogo/Segregation.nlogox"
"segregation-reference"
"05/23/2026 18:09:07:472 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","visualization","density","%-similar-wanted","[step]","ticks","count turtles","percent-similar","percent-unhappy","count turtles with [not happy?]"
"2","old","70","15","3","3","1814","54.73186119873817","0","0"
"4","old","70","15","3","3","1839","53.998476770754","0","0"
"1","old","70","15","4","4","1818","53.71238765142634","0","0"
"3","old","70","15","5","5","1791","54.02020202020202","0","0"
"5","old","70","15","4","4","1790","56.03465645778763","0","0"
"6","old","70","15","4","4","1798","53.941576630652264","0","0"
"8","old","70","15","3","3","1822","54.314720812182735","0","0"
"7","old","70","15","7","7","1821","54.283473828661045","0","0"
"10","old","70","15","3","3","1817","54.944838455476756","0","0"
"9","old","70","15","5","5","1803","53.92680514342235","0","0"
"11","old","70","15","4","4","1868","53.56419230060785","0","0"
"12","old","70","15","4","4","1797","53.682520569937786","0","0"
"14","old","70","15","5","5","1823","54.79053529868116","0","0"
"16","old","70","15","4","4","1813","55.29341792228391","0","0"
"15","old","70","15","7","7","1813","54.230921312771855","0","0"
"13","old","70","15","9","9","1810","54.55623641035778","0","0"
"20","old","70","15","3","3","1762","53.60587002096436","0","0"
"19","old","70","15","5","5","1796","53.94182547642929","0","0"
"17","old","70","15","8","8","1825","53.041456799690046","0","0"
"18","old","70","15","4","4","1863","53.94074902179988","0","0"
"21","old","70","15","4","4","1802","55.229212145266914","0","0"
"24","old","70","15","4","4","1817","54.71476181140953","0","0"
"23","old","70","15","5","5","1832","54.42673324371039","0","0"
"22","old","70","15","5","5","1820","54.673721340388006","0","0"
"25","old","70","15","3","3","1849","52.84983904563529","0","0"
"26","old","70","15","3","3","1877","53.22283609576427","0","0"
"28","old","70","15","4","4","1810","55.0899387230678","0","0"
"29","old","70","15","4","4","1780","54.054054054054056","0","0"
"30","old","70","15","4","4","1839","54.601226993865026","0","0"
"27","old","70","15","6","6","1850","54","0","0"
"31","old","70","20","6","6","1846","56.11249282571264","0","0"
"32","old","70","20","6","6","1791","58.2262996941896","0","0"
"33","old","70","20","5","5","1823","56.89688906280571","0","0"
"34","old","70","20","10","10","1778","58.21266032271411","0","0"
"36","old","70","20","5","5","1787","56.846810239739945","0","0"
"35","old","70","20","6","6","1793","57.953861584754264","0","0"
"37","old","70","20","7","7","1845","59.60038058991437","0","0"
"38","old","70","20","8","8","1773","59.78171334431631","0","0"
"39","old","70","20","8","8","1781","57.44854289790096","0","0"
"41","old","70","20","8","8","1821","58.05134189031506","0","0"
"40","old","70","20","8","8","1819","58.083003952569165","0","0"
"42","old","70","20","6","6","1847","58.06512684589171","0","0"
"43","old","70","20","6","6","1836","57.53846153846154","0","0"
"44","old","70","20","8","8","1780","58.14335592524132","0","0"
"46","old","70","20","7","7","1785","58.722709651091606","0","0"
"45","old","70","20","11","11","1794","60.492591109331194","0","0"
"47","old","70","20","7","7","1788","59.38261575954509","0","0"
"48","old","70","20","7","7","1821","58.719346049046315","0","0"
"49","old","70","20","7","7","1830","58.84622805325102","0","0"
"51","old","70","20","5","5","1823","59.78004713275726","0","0"
"50","old","70","20","9","9","1844","59.12926735711545","0","0"
"52","old","70","20","6","6","1838","58.86619583890056","0","0"
"55","old","70","20","5","5","1826","57.909002904162634","0","0"
"54","old","70","20","9","9","1830","58.04953560371517","0","0"
"56","old","70","20","8","8","1796","58.803175249338494","0","0"
"58","old","70","20","6","6","1840","57.87461773700306","0","0"
"57","old","70","20","7","7","1813","56.94942254082039","0","0"
"59","old","70","20","8","8","1828","57.92445482866043","0","0"
"60","old","70","20","6","6","1800","57.3816717019134","0","0"
"61","old","70","25","8","8","1823","60.79907353792704","0","0"
"53","old","70","20","7","7","1833","58.85185898670776","0","0"
"62","old","70","25","6","6","1807","60.34720852239101","0","0"
"63","old","70","25","8","8","1785","65.03368034292713","0","0"
"64","old","70","25","9","9","1791","62.54045307443366","0","0"
"65","old","70","25","7","7","1810","61.7578125","0","0"
"66","old","70","25","7","7","1824","63.2546439628483","0","0"
"69","old","70","25","8","8","1801","61.47867676365085","0","0"
"67","old","70","25","9","9","1821","64.07917717834272","0","0"
"68","old","70","25","9","9","1835","62.35922886046955","0","0"
"70","old","70","25","7","7","1818","62.14898595943838","0","0"
"71","old","70","25","7","7","1771","60.92024539877301","0","0"
"73","old","70","25","7","7","1819","60.37735849056604","0","0"
"72","old","70","25","9","9","1837","62.226450999048524","0","0"
"74","old","70","25","7","7","1815","61.75837086352066","0","0"
"75","old","70","25","8","8","1852","62.12806026365348","0","0"
"76","old","70","25","7","7","1831","60.023041474654384","0","0"
"78","old","70","25","10","10","1817","62.40062051580376","0","0"
"77","old","70","25","13","13","1803","61.73620723749258","0","0"
"79","old","70","25","9","9","1815","62.64989188126597","0","0"
"80","old","70","25","10","10","1834","63.50574712643679","0","0"
"81","old","70","25","8","8","1808","63.26450344149459","0","0"
"82","old","70","25","8","8","1850","59.74901666978835","0","0"
