run_id,repetition,treatment,mode,seed,tick,size,density,similar_wanted,income_gap,use_affordability,population,unhappy_count,percent_similar,percent_unhappy,moved_count,stuck_unhappy,stuck_unhappy_fraction,no_movement_ticks,converged,termination_reason,isolation_blue,isolation_orange,dissimilarity,mean_rent_blue,mean_rent_orange
T1_preference_only_s15_g0p0_r0,0,T1_preference_only,extension,160000,5,51,80.0,15.0,0.0,false,2104,0,53.591404,0.000000,1,0,0.000000,0,true,converged,52.089348,55.002141,0.217754,28.280147,28.436357
T1_preference_only_s15_g0p0_r1,1,T1_preference_only,extension,160001,8,51,80.0,15.0,0.0,false,2132,0,54.434733,0.000000,1,0,0.000000,0,true,converged,55.021216,53.832753,0.200565,27.911079,29.367318
T1_preference_only_s15_g0p0_r2,2,T1_preference_only,extension,160002,5,51,80.0,15.0,0.0,false,2064,0,53.823844,0.000000,2,0,0.000000,0,true,converged,51.900143,55.599589,0.225971,29.345567,27.810317
T1_preference_only_s15_g0p0_r3,3,T1_preference_only,extension,160003,4,51,80.0,15.0,0.0,false,2105,0,54.776602,0.000000,3,0,0.000000,0,true,converged,53.144510,56.298821,0.242842,28.264721,28.863561
T1_preference_only_s15_g0p0_r4,4,T1_preference_only,extension,160004,5,51,80.0,15.0,0.0,false,2071,0,54.484646,0.000000,2,0,0.000000,0,true,converged,56.469904,52.309653,0.205003,28.690960,28.475280
T1_preference_only_s15_g0p0_r5,5,T1_preference_only,extension,160005,5,51,80.0,15.0,0.0,false,2078,0,54.514045,0.000000,1,0,0.000000,0,true,converged,54.616307,54.411322,0.234067,28.288648,29.083459
T1_preference_only_s15_g0p0_r6,6,T1_preference_only,extension,160006,6,51,80.0,15.0,0.0,false,2105,0,55.363169,0.000000,1,0,0.000000,0,true,converged,57.311255,53.228782,0.253403,28.437949,28.721362
T1_preference_only_s15_g0p0_r7,7,T1_preference_only,extension,160007,4,51,80.0,15.0,0.0,false,2101,0,55.048716,0.000000,1,0,0.000000,0,true,converged,52.783377,57.106635,0.232085,28.337605,28.564764
T1_preference_only_s15_g0p0_r8,8,T1_preference_only,extension,160008,5,51,80.0,15.0,0.0,false,2113,0,54.252840,0.000000,1,0,0.000000,0,true,converged,54.312727,54.192796,0.217805,28.627519,28.992338
T1_preference_only_s15_g0p0_r9,9,T1_preference_only,extension,160009,4,51,80.0,15.0,0.0,false,2093,0,52.958712,0.000000,2,0,0.000000,0,true,converged,52.541353,53.368794,0.188946,28.944045,28.072945
T1_preference_only_s15_g0p0_r10,10,T1_preference_only,extension,160010,3,51,80.0,15.0,0.0,false,2101,0,54.191263,0.000000,7,0,0.000000,0,true,converged,53.878158,54.500147,0.214638,28.104220,28.954075
T1_preference_only_s15_g0p0_r11,11,T1_preference_only,extension,160011,4,51,80.0,15.0,0.0,false,2093,0,53.621253,0.000000,2,0,0.000000,0,true,converged,53.267534,53.969657,0.229583,28.887312,28.323284
T1_preference_only_s15_g0p0_r12,12,T1_preference_only,extension,160012,6,51,80.0,15.0,0.0,false,2110,0,54.228129,0.000000,1,0,0.000000,0,true,converged,53.515277,54.919448,0.221099,27.748268,29.435089
T1_preference_only_s15_g0p0_r13,13,T1_preference_only,extension,160013,6,51,80.0,15.0,0.0,false,2096,0,54.628944,0.000000,1,0,0.000000,0,true,converged,54.962506,54.290404,0.231197,28.343775,28.366627
T1_preference_only_s15_g0p0_r14,14,T1_preference_only,extension,160014,5,51,80.0,15.0,0.0,false,2074,0,54.482132,0.000000,1,0,0.000000,0,true,converged,53.768071,55.174471,0.216308,28.046253,28.658794
T1_preference_only_s15_g0p0_r15,15,T1_preference_only,extension,160015,3,51,80.0,15.0,0.0,false,2081,0,55.180180,0.000000,2,0,0.000000,0,true,converged,54.322877,56.005895,0.209850,28.402878,28.884397
T1_preference_only_s15_g0p0_r16,16,T1_preference_only,extension,160016,7,51,80.0,15.0,0.0,false,2094,0,55.012624,0.000000,1,0,0.000000,0,true,converged,54.703155,55.317893,0.198398,28.325568,28.937130
T1_preference_only_s15_g0p0_r17,17,T1_preference_only,extension,160017,5,51,80.0,15.0,0.0,false,2086,0,54.523738,0.000000,3,0,0.000000,0,true,converged,54.373877,54.672619,0.224221,28.783488,28.458796
T1_preference_only_s15_g0p0_r18,18,T1_preference_only,extension,160018,6,51,80.0,15.0,0.0,false,2087,0,55.968249,0.000000,1,0,0.000000,0,true,converged,56.236975,55.696203,0.224679,28.312965,28.830115
