run_id,repetition,treatment,mode,seed,tick,size,density,similar_wanted,income_gap,use_affordability,population,unhappy_count,percent_similar,percent_unhappy,moved_count,stuck_unhappy,stuck_unhappy_fraction,no_movement_ticks,converged,termination_reason,isolation_blue,isolation_orange,dissimilarity,mean_rent_blue,mean_rent_orange
rep_d70_s15_r0,0,replication,baseline,7025000,5,51,70.0,15.0,0.0,true,1852,0,55.232558,0.000000,1,0,0.000000,0,true,converged,55.274499,55.190539,0.251206,0.000000,0.000000
rep_d70_s15_r1,1,replication,baseline,7025001,6,51,70.0,15.0,0.0,true,1777,0,54.119812,0.000000,1,0,0.000000,0,true,converged,54.110429,54.129191,0.224177,0.000000,0.000000
rep_d70_s15_r2,2,replication,baseline,7025002,4,51,70.0,15.0,0.0,true,1791,0,52.771619,0.000000,1,0,0.000000,0,true,converged,53.777865,51.720585,0.206496,0.000000,0.000000
rep_d70_s15_r3,3,replication,baseline,7025003,4,51,70.0,15.0,0.0,true,1778,0,55.566947,0.000000,2,0,0.000000,0,true,converged,57.601252,53.327590,0.240468,0.000000,0.000000
rep_d70_s15_r4,4,replication,baseline,7025004,4,51,70.0,15.0,0.0,true,1797,0,54.407051,0.000000,2,0,0.000000,0,true,converged,54.461785,54.352186,0.235892,0.000000,0.000000
rep_d70_s15_r5,5,replication,baseline,7025005,4,51,70.0,15.0,0.0,true,1853,0,53.524355,0.000000,1,0,0.000000,0,true,converged,51.964462,54.986124,0.237318,0.000000,0.000000
rep_d70_s15_r6,6,replication,baseline,7025006,3,51,70.0,15.0,0.0,true,1801,0,53.159259,0.000000,1,0,0.000000,0,true,converged,52.981192,53.335981,0.210870,0.000000,0.000000
rep_d70_s15_r7,7,replication,baseline,7025007,5,51,70.0,15.0,0.0,true,1819,0,53.963893,0.000000,2,0,0.000000,0,true,converged,53.359841,54.552499,0.190947,0.000000,0.000000
rep_d70_s15_r8,8,replication,baseline,7025008,6,51,70.0,15.0,0.0,true,1813,0,53.551697,0.000000,1,0,0.000000,0,true,converged,53.987490,53.107570,0.207743,0.000000,0.000000
rep_d70_s15_r9,9,replication,baseline,7025009,4,51,70.0,15.0,0.0,true,1826,0,54.271160,0.000000,1,0,0.000000,0,true,converged,53.745541,54.784967,0.238070,0.000000,0.000000
rep_d70_s15_r10,10,replication,baseline,7025010,6,51,70.0,15.0,0.0,true,1822,0,54.195669,0.000000,1,0,0.000000,0,true,converged,55.073013,53.283376,0.207885,0.000000,0.000000
rep_d70_s15_r11,11,replication,baseline,7025011,4,51,70.0,15.0,0.0,true,1807,0,54.191380,0.000000,2,0,0.000000,0,true,converged,53.743262,54.630899,0.231821,0.000000,0.000000
rep_d70_s15_r12,12,replication,baseline,7025012,4,51,70.0,15.0,0.0,true,1794,0,54.040000,0.000000,1,0,0.000000,0,true,converged,54.021609,54.058377,0.237920,0.000000,0.000000
rep_d70_s15_r13,13,replication,baseline,7025013,4,51,70.0,15.0,0.0,true,1801,0,54.628526,0.000000,1,0,0.000000,0,true,converged,55.736434,53.463733,0.220805,0.000000,0.000000
rep_d70_s15_r14,14,replication,baseline,7025014,5,51,70.0,15.0,0.0,true,1825,0,54.187476,0.000000,1,0,0.000000,0,true,converged,54.649173,53.716282,0.228982,0.000000,0.000000
rep_d70_s15_r15,15,replication,baseline,7025015,4,51,70.0,15.0,0.0,true,1816,0,53.610073,0.000000,2,0,0.000000,0,true,converged,53.909304,53.306931,0.201454,0.000000,0.000000
rep_d70_s15_r16,16,replication,baseline,7025016,9,51,70.0,15.0,0.0,true,1814,0,54.684437,0.000000,1,0,0.000000,0,true,converged,55.071901,54.290233,0.242629,0.000000,0.000000
rep_d70_s15_r17,17,replication,baseline,7025017,7,51,70.0,15.0,0.0,true,1804,0,54.705295,0.000000,1,0,0.000000,0,true,converged,52.917965,56.361886,0.248653,0.000000,0.000000
rep_d70_s15_r18,18,replication,baseline,7025018,3,51,70.0,15.0,0.0,true,1823,0,53.324288,0.000000,6,0,0.000000,0,true,converged,52.222222,54.376658,0.227166,0.000000,0.000000
rep_d70_s15_r19,19,replication,baseline,7025019,4,51,70.0,15.0,0.0,true,1827,0,54.958114,0.000000,1,0,0.000000,0,true,converged,56.095708,53.760000,0.228333,0.000000,0.000000
rep_d70_s15_r20,20,replication,baseline,7025020,9,51,70.0,15.0,0.0,true,1805,0,53.334657,0.000000,1,0,0.000000,0,true,converged,52.819587,53.838602,0.226065,0.000000,0.000000
rep_d70_s15_r21,21,replication,baseline,7025021,4,51,70.0,15.0,0.0,true,1824,0,54.286265,0.000000,1,0,0.000000,0,true,converged,53.296595,55.234861,0.221938,0.000000,0.000000
rep_d70_s15_r22,22,replication,baseline,7025022,4,51,70.0,15.0,0.0,true,1791,0,54.350010,0.000000,5,0,0.000000,0,true,converged,53.173949,55.468444,0.237337,0.000000,0.000000
rep_d70_s15_r23,23,replication,baseline,7025023,4,51,70.0,15.0,0.0,true,1847,0,54.724858,0.000000,1,0,0.000000,0,true,converged,54.326187,55.116629,0.248072,0.000000,0.000000
rep_d70_s15_r24,24,replication,baseline,7025024,4,51,70.0,15.0,0.0,true,1824,0,54.028527,0.000000,1,0,0.000000,0,true,converged,54.125793,53.930848,0.216733,0.000000,0.000000
rep_d70_s15_r25,25,replication,baseline,7025025,3,51,70.0,15.0,0.0,true,1799,0,53.483689,0.000000,4,0,0.000000,0,true,converged,53.464948,53.502415,0.215607,0.000000,0.000000
rep_d70_s15_r26,26,replication,baseline,7025026,5,51,70.0,15.0,0.0,true,1841,0,53.471168,0.000000,1,0,0.000000,0,true,converged,52.322643,54.565660,0.242467,0.000000,0.000000
rep_d70_s15_r27,27,replication,baseline,7025027,4,51,70.0,15.0,0.0,true,1837,0,54.225217,0.000000,1,0,0.000000,0,true,converged,53.572823,54.859529,0.228150,0.000000,0.000000
rep_d70_s15_r28,28,replication,baseline,7025028,4,51,70.0,15.0,0.0,true,1849,0,54.155598,0.000000,1,0,0.000000,0,true,converged,53.627639,54.671670,0.224896,0.000000,0.000000
rep_d70_s15_r29,29,replication,baseline,7025029,5,51,70.0,15.0,0.0,true,1792,0,54.629444,0.000000,1,0,0.000000,0,true,converged,54.280510,54.973091,0.232570,0.000000,0.000000
rep_d70_s20_r0,0,replication,baseline,7030000,6,51,70.0,20.0,0.0,true,1855,0,58.127242,0.000000,1,0,0.000000,0,true,converged,58.119335,58.135145,0.254937,0.000000,0.000000
rep_d70_s20_r1,1,replication,baseline,7030001,10,51,70.0,20.0,0.0,true,1814,0,59.004739,0.000000,1,0,0.000000,0,true,converged,58.413462,59.579439,0.269592,0.000000,0.000000
rep_d70_s20_r2,2,replication,baseline,7030002,6,51,70.0,20.0,0.0,true,1875,0,57.132326,0.000000,1,0,0.000000,0,true,converged,56.941873,57.321101,0.260484,0.000000,0.000000
rep_d70_s20_r3,3,replication,baseline,7030003,5,51,70.0,20.0,0.0,true,1763,0,58.436128,0.000000,2,0,0.000000,0,true,converged,58.755187,58.112094,0.269922,0.000000,0.000000
rep_d70_s20_r4,4,replication,baseline,7030004,5,51,70.0,20.0,0.0,true,1873,0,58.404137,0.000000,3,0,0.000000,0,true,converged,57.700977,59.084302,0.260147,0.000000,0.000000
rep_d70_s20_r5,5,replication,baseline,7030005,5,51,70.0,20.0,0.0,true,1831,0,57.214121,0.000000,1,0,0.000000,0,true,converged,57.393963,57.032755,0.232812,0.000000,0.000000
rep_d70_s20_r6,6,replication,baseline,7030006,10,51,70.0,20.0,0.0,true,1810,0,56.906518,0.000000,1,0,0.000000,0,true,converged,56.932271,56.880734,0.245190,0.000000,0.000000
rep_d70_s20_r7,7,replication,baseline,7030007,9,51,70.0,20.0,0.0,true,1846,0,57.257756,0.000000,1,0,0.000000,0,true,converged,56.062992,58.389262,0.232016,0.000000,0.000000
rep_d70_s20_r8,8,replication,baseline,7030008,7,51,70.0,20.0,0.0,true,1797,0,58.617254,0.000000,1,0,0.000000,0,true,converged,58.116556,59.106123,0.278107,0.000000,0.000000
rep_d70_s20_r9,9,replication,baseline,7030009,9,51,70.0,20.0,0.0,true,1776,0,58.789625,0.000000,1,0,0.000000,0,true,converged,57.976490,59.571890,0.295616,0.000000,0.000000
rep_d70_s20_r10,10,replication,baseline,7030010,8,51,70.0,20.0,0.0,true,1793,0,57.690755,0.000000,1,0,0.000000,0,true,converged,58.805031,56.514523,0.259877,0.000000,0.000000
rep_d70_s20_r11,11,replication,baseline,7030011,7,51,70.0,20.0,0.0,true,1834,0,55.912744,0.000000,1,0,0.000000,0,true,converged,56.429652,55.383424,0.202158,0.000000,0.000000
rep_d70_s20_r12,12,replication,baseline,7030012,7,51,70.0,20.0,0.0,true,1820,0,59.945184,0.000000,2,0,0.000000,0,true,converged,59.866614,60.023447,0.264214,0.000000,0.000000
rep_d70_s20_r13,13,replication,baseline,7030013,7,51,70.0,20.0,0.0,true,1805,0,57.910389,0.000000,1,0,0.000000,0,true,converged,57.902042,57.918731,0.253449,0.000000,0.000000
rep_d70_s20_r14,14,replication,baseline,7030014,6,51,70.0,20.0,0.0,true,1826,0,58.636186,0.000000,1,0,0.000000,0,true,converged,58.334973,58.933075,0.268384,0.000000,0.000000
rep_d70_s20_r15,15,replication,baseline,7030015,6,51,70.0,20.0,0.0,true,1802,0,57.760000,0.000000,3,0,0.000000,0,true,converged,58.293839,57.212318,0.243301,0.000000,0.000000
rep_d70_s20_r16,16,replication,baseline,7030016,7,51,70.0,20.0,0.0,true,1817,0,59.528024,0.000000,3,0,0.000000,0,true,converged,60.254925,58.774038,0.254784,0.000000,0.000000
rep_d70_s20_r17,17,replication,baseline,7030017,7,51,70.0,20.0,0.0,true,1830,0,58.036929,0.000000,1,0,0.000000,0,true,converged,58.440808,57.625123,0.243070,0.000000,0.000000
rep_d70_s20_r18,18,replication,baseline,7030018,5,51,70.0,20.0,0.0,true,1808,0,57.742000,0.000000,1,0,0.000000,0,true,converged,57.666268,57.817460,0.252221,0.000000,0.000000
rep_d70_s20_r19,19,replication,baseline,7030019,8,51,70.0,20.0,0.0,true,1805,0,56.634692,0.000000,1,0,0.000000,0,true,converged,57.384132,55.858421,0.256296,0.000000,0.000000
rep_d70_s20_r20,20,replication,baseline,7030020,6,51,70.0,20.0,0.0,true,1843,0,57.924021,0.000000,3,0,0.000000,0,true,converged,58.909500,56.890112,0.240263,0.000000,0.000000
rep_d70_s20_r21,21,replication,baseline,7030021,7,51,70.0,20.0,0.0,true,1808,0,57.873781,0.000000,1,0,0.000000,0,true,converged,57.026807,58.688012,0.241575,0.000000,0.000000
rep_d70_s20_r22,22,replication,baseline,7030022,6,51,70.0,20.0,0.0,true,1862,0,58.856502,0.000000,1,0,0.000000,0,true,converged,59.372694,58.327025,0.258738,0.000000,0.000000
rep_d70_s20_r23,23,replication,baseline,7030023,8,51,70.0,20.0,0.0,true,1825,0,59.219302,0.000000,1,0,0.000000,0,true,converged,58.110014,60.271355,0.257815,0.000000,0.000000
rep_d70_s20_r24,24,replication,baseline,7030024,6,51,70.0,20.0,0.0,true,1833,0,57.300329,0.000000,3,0,0.000000,0,true,converged,57.878672,56.705882,0.278032,0.000000,0.000000
