treatment,density,similar_wanted,income_gap,use_affordability,n,n_converged,convergence_rate,tick_mean,tick_ci95,percent_similar_mean,percent_similar_ci95,percent_unhappy_mean,percent_unhappy_ci95,stuck_unhappy_fraction_mean,stuck_unhappy_fraction_ci95,isolation_blue_mean,isolation_blue_ci95,isolation_orange_mean,isolation_orange_ci95,dissimilarity_mean,dissimilarity_ci95,mean_rent_blue_mean,mean_rent_blue_ci95,mean_rent_orange_mean,mean_rent_orange_ci95
replication,70.0,15.0,0.0,true,30,30,1.000000,4.700000,0.532846,54.126101,0.226178,0.000000,0.000000,0.000000,0.000000,53.990521,0.426778,54.229912,0.325812,0.227089,0.005333,0.000000,0.000000,0.000000,0.000000
replication,70.0,20.0,0.0,true,30,30,1.000000,6.966667,0.510270,58.094164,0.352187,0.000000,0.000000,0.000000,0.000000,58.241243,0.450190,57.917012,0.448457,0.257335,0.006671,0.000000,0.000000,0.000000,0.000000
replication,70.0,25.0,0.0,true,30,30,1.000000,8.200000,0.626185,62.185992,0.386562,0.000000,0.000000,0.000000,0.000000,62.507225,0.530059,61.816802,0.472571,0.286022,0.006726,0.000000,0.000000,0.000000,0.000000
replication,70.0,30.0,0.0,true,30,30,1.000000,13.466667,1.360959,72.495905,0.419808,0.000000,0.000000,0.000000,0.000000,72.453426,0.441456,72.520573,0.469397,0.375293,0.009134,0.000000,0.000000,0.000000,0.000000
replication,70.0,35.0,0.0,true,30,30,1.000000,13.433333,1.057721,79.033400,0.330797,0.000000,0.000000,0.000000,0.000000,78.933464,0.333577,79.117494,0.384047,0.427443,0.009122,0.000000,0.000000,0.000000,0.000000
replication,70.0,40.0,0.0,true,30,30,1.000000,13.966667,0.960583,80.616177,0.315713,0.000000,0.000000,0.000000,0.000000,80.531742,0.336489,80.686056,0.349241,0.435708,0.009677,0.000000,0.000000,0.000000,0.000000
replication,70.0,45.0,0.0,true,30,30,1.000000,17.566667,1.153570,87.760583,0.239976,0.000000,0.000000,0.000000,0.000000,87.692108,0.289199,87.814119,0.232184,0.514998,0.010261,0.000000,0.000000,0.000000,0.000000
replication,70.0,50.0,0.0,true,30,30,1.000000,17.900000,1.197395,87.746367,0.281638,0.000000,0.000000,0.000000,0.000000,87.735144,0.295887,87.744471,0.305803,0.516251,0.012426,0.000000,0.000000,0.000000,0.000000
replication,70.0,55.0,0.0,true,30,30,1.000000,26.266667,1.895715,94.674403,0.204071,0.000000,0.000000,0.000000,0.000000,94.628792,0.208900,94.710580,0.214153,0.630954,0.010706,0.000000,0.000000,0.000000,0.000000
replication,70.0,60.0,0.0,true,30,30,1.000000,28.566667,1.360797,96.333712,0.110155,0.000000,0.000000,0.000000,0.000000,96.325036,0.123016,96.336773,0.109286,0.643897,0.010625,0.000000,0.000000,0.000000,0.000000
