run_id,repetition,treatment,mode,seed,tick,size,density,similar_wanted,income_gap,use_affordability,population,unhappy_count,percent_similar,percent_unhappy,moved_count,stuck_unhappy,stuck_unhappy_fraction,no_movement_ticks,converged,termination_reason,isolation_blue,isolation_orange,dissimilarity,mean_rent_blue,mean_rent_orange
T1_preference_only_s15_g0p0_r0,0,T1_preference_only,extension,160000,5,51,80.0,15.0,0.0,false,2104,0,53.591404,0.000000,1,0,0.000000,0,true,converged,52.089348,55.002141,0.217754,28.280147,28.436357
T1_preference_only_s20_g0p0_r0,0,T1_preference_only,extension,210000,9,51,80.0,20.0,0.0,false,2095,0,57.754801,0.000000,1,0,0.000000,0,true,converged,58.150424,57.351625,0.242723,28.932252,28.001604
T1_preference_only_s25_g0p0_r0,0,T1_preference_only,extension,260000,7,51,80.0,25.0,0.0,false,2058,0,58.663629,0.000000,2,0,0.000000,0,true,converged,58.225905,59.092275,0.245147,28.197430,29.089380
T1_preference_only_s30_g0p0_r0,0,T1_preference_only,extension,310000,15,51,80.0,30.0,0.0,false,2080,0,71.507628,0.000000,1,0,0.000000,0,true,converged,71.331828,71.681284,0.362127,28.778537,28.346336
T1_preference_only_s35_g0p0_r0,0,T1_preference_only,extension,360000,12,51,80.0,35.0,0.0,false,2036,0,78.288456,0.000000,4,0,0.000000,0,true,converged,78.713397,77.846202,0.410714,29.126479,28.495817
T1_preference_only_s40_g0p0_r0,0,T1_preference_only,extension,410000,21,51,80.0,40.0,0.0,false,2061,0,80.503817,0.000000,1,0,0.000000,0,true,converged,80.954512,80.031274,0.461363,27.889926,29.209779
T1_preference_only_s45_g0p0_r0,0,T1_preference_only,extension,460000,27,51,80.0,45.0,0.0,false,2096,0,86.225976,0.000000,1,0,0.000000,0,true,converged,86.088235,86.361015,0.508435,27.955186,29.387627
T1_preference_only_s50_g0p0_r0,0,T1_preference_only,extension,510000,20,51,80.0,50.0,0.0,false,2080,0,86.592095,0.000000,1,0,0.000000,0,true,converged,86.639917,86.543931,0.542342,29.691796,27.647904
T1_preference_only_s55_g0p0_r0,0,T1_preference_only,extension,560000,41,51,80.0,55.0,0.0,false,2097,0,93.892909,0.000000,1,0,0.000000,0,true,converged,93.887601,93.898207,0.626017,28.256443,28.989026
T1_preference_only_s60_g0p0_r0,0,T1_preference_only,extension,610000,56,51,80.0,60.0,0.0,false,2094,0,96.657986,0.000000,2,0,0.000000,0,true,converged,96.707995,96.606435,0.674185,30.938529,26.610922
T1_preference_only_s65_g0p0_r0,0,T1_preference_only,extension,660000,42,51,80.0,65.0,0.0,false,2121,0,98.042754,0.000000,2,0,0.000000,0,true,converged,98.069287,98.015482,0.731786,26.450637,30.206317
T1_preference_only_s70_g0p0_r0,0,T1_preference_only,extension,710000,79,51,80.0,70.0,0.0,false,2049,0,99.465472,0.000000,1,1,0.000488,0,true,converged,99.478065,99.452258,0.722521,26.638461,30.807411
T2_income_only_s0_g0p0_r0,0,T2_income_only,extension,10000,1,51,80.0,0.0,0.0,true,2063,0,49.846199,0.000000,191,0,0.000000,0,true,converged,49.153549,50.520231,0.188529,25.578287,25.278490
T2_income_only_s0_g0p25_r0,0,T2_income_only,extension,10250,1,51,80.0,0.0,0.25,true,2046,0,49.814237,0.000000,207,0,0.000000,0,true,converged,49.453675,50.169692,0.194812,25.829081,25.835385
T2_income_only_s0_g0p5_r0,0,T2_income_only,extension,10500,1,51,80.0,0.0,0.5,true,2025,0,50.395017,0.000000,207,0,0.000000,0,true,converged,48.395764,52.245137,0.199149,26.000213,25.352925
T2_income_only_s0_g0p75_r0,0,T2_income_only,extension,10750,1,51,80.0,0.0,0.75,true,2068,0,50.000000,0.000000,206,0,0.000000,0,true,converged,48.299729,51.591998,0.203672,27.364601,24.463465
T2_income_only_s0_g1p0_r0,0,T2_income_only,extension,11000,1,51,80.0,0.0,1.0,true,2083,0,50.559701,0.000000,207,0,0.000000,0,true,converged,50.123064,50.988761,0.217143,27.090341,23.825805
T3_combined_s30_g0p0_r0,0,T3_combined,extension,310000,17,51,80.0,30.0,0.0,true,2080,0,75.619353,0.000000,1,0,0.000000,0,true,converged,75.551659,75.686673,0.407116,26.684844,25.512637
T3_combined_s30_g0p25_r0,0,T3_combined,extension,310250,14,51,80.0,30.0,0.25,true,2125,0,73.863476,0.000000,1,0,0.000000,0,true,converged,72.671082,74.956170,0.385194,26.800940,26.070255
T3_combined_s30_g0p5_r0,0,T3_combined,extension,310500,11,51,80.0,30.0,0.5,true,2069,0,73.495744,0.000000,2,0,0.000000,0,true,converged,73.084948,73.894189,0.395050,27.570992,24.080392
T3_combined_s30_g0p75_r0,0,T3_combined,extension,310750,12,51,80.0,30.0,0.75,true,2069,0,73.967126,0.000000,2,0,0.000000,0,true,converged,72.332389,75.419463,0.406258,28.277093,24.456393
T3_combined_s30_g1p0_r0,0,T3_combined,extension,311000,12,51,80.0,30.0,1.0,true,2081,0,75.357091,0.000000,2,0,0.000000,0,true,converged,73.915699,76.647525,0.420200,28.323716,23.372407
