run_id,repetition,treatment,mode,seed,tick,size,density,similar_wanted,income_gap,use_affordability,population,unhappy_count,percent_similar,percent_unhappy,moved_count,stuck_unhappy,stuck_unhappy_fraction,no_movement_ticks,converged,termination_reason,isolation_blue,isolation_orange,dissimilarity,mean_rent_blue,mean_rent_orange
rep_d70_s15_r0,0,replication,baseline,7025000,5,51,70.0,15.0,0.0,true,1852,0,55.232558,0.000000,1,0,0.000000,0,true,converged,55.274499,55.190539,0.251206,0.000000,0.000000
rep_d70_s20_r0,0,replication,baseline,7030000,6,51,70.0,20.0,0.0,true,1855,0,58.127242,0.000000,1,0,0.000000,0,true,converged,58.119335,58.135145,0.254937,0.000000,0.000000
rep_d70_s25_r0,0,replication,baseline,7035000,8,51,70.0,25.0,0.0,true,1823,0,62.022385,0.000000,1,0,0.000000,0,true,converged,60.671463,63.283582,0.304614,0.000000,0.000000
rep_d70_s30_r0,0,replication,baseline,7040000,11,51,70.0,30.0,0.0,true,1787,0,72.563323,0.000000,2,0,0.000000,0,true,converged,72.105480,73.006380,0.378617,0.000000,0.000000
rep_d70_s35_r0,0,replication,baseline,7045000,13,51,70.0,35.0,0.0,true,1818,0,79.206196,0.000000,1,0,0.000000,0,true,converged,78.791469,79.605013,0.421572,0.000000,0.000000
rep_d70_s40_r0,0,replication,baseline,7050000,12,51,70.0,40.0,0.0,true,1841,0,80.186880,0.000000,1,0,0.000000,0,true,converged,79.551269,80.784169,0.427331,0.000000,0.000000
rep_d70_s45_r0,0,replication,baseline,7055000,14,51,70.0,45.0,0.0,true,1853,0,87.146866,0.000000,2,0,0.000000,0,true,converged,87.098592,87.194781,0.481046,0.000000,0.000000
rep_d70_s50_r0,0,replication,baseline,7060000,13,51,70.0,50.0,0.0,true,1834,0,87.137405,0.000000,1,0,0.000000,0,true,converged,87.013487,87.258979,0.523484,0.000000,0.000000
rep_d70_s55_r0,0,replication,baseline,7065000,25,51,70.0,55.0,0.0,true,1823,0,94.430947,0.000000,1,0,0.000000,0,true,converged,94.465082,94.396390,0.652153,0.000000,0.000000
rep_d70_s60_r0,0,replication,baseline,7070000,31,51,70.0,60.0,0.0,true,1823,0,96.528036,0.000000,1,0,0.000000,0,true,converged,96.578225,96.476352,0.638019,0.000000,0.000000
rep_d70_s65_r0,0,replication,baseline,7075000,34,51,70.0,65.0,0.0,true,1842,0,98.366767,0.000000,1,0,0.000000,0,true,converged,98.424118,98.305085,0.688413,0.000000,0.000000
rep_d70_s70_r0,0,replication,baseline,7080000,56,51,70.0,70.0,0.0,true,1838,0,99.574902,0.000000,3,0,0.000000,0,true,converged,99.573743,99.576056,0.748665,0.000000,0.000000
rep_d80_s15_r0,0,replication,baseline,8025000,5,51,80.0,15.0,0.0,true,2082,0,54.904324,0.000000,2,0,0.000000,0,true,converged,56.056379,53.690237,0.241861,0.000000,0.000000
rep_d80_s20_r0,0,replication,baseline,8030000,5,51,80.0,20.0,0.0,true,2083,0,57.174854,0.000000,4,0,0.000000,0,true,converged,58.253275,56.039240,0.243386,0.000000,0.000000
rep_d80_s25_r0,0,replication,baseline,8035000,7,51,80.0,25.0,0.0,true,2064,0,60.560182,0.000000,2,0,0.000000,0,true,converged,60.572120,60.548236,0.233148,0.000000,0.000000
rep_d80_s30_r0,0,replication,baseline,8040000,15,51,80.0,30.0,0.0,true,2061,0,72.338808,0.000000,1,0,0.000000,0,true,converged,72.903322,71.750272,0.405875,0.000000,0.000000
rep_d80_s35_r0,0,replication,baseline,8045000,15,51,80.0,35.0,0.0,true,2082,0,76.661240,0.000000,1,0,0.000000,0,true,converged,77.187907,76.109680,0.432517,0.000000,0.000000
rep_d80_s40_r0,0,replication,baseline,8050000,17,51,80.0,40.0,0.0,true,2089,0,80.855789,0.000000,1,0,0.000000,0,true,converged,80.738865,80.971302,0.460859,0.000000,0.000000
rep_d80_s45_r0,0,replication,baseline,8055000,19,51,80.0,45.0,0.0,true,2095,0,87.158232,0.000000,2,0,0.000000,0,true,converged,86.799223,87.498230,0.543993,0.000000,0.000000
rep_d80_s50_r0,0,replication,baseline,8060000,18,51,80.0,50.0,0.0,true,2035,0,88.434219,0.000000,1,0,0.000000,0,true,converged,88.439574,88.428858,0.548055,0.000000,0.000000
rep_d80_s55_r0,0,replication,baseline,8065000,40,51,80.0,55.0,0.0,true,2077,0,93.876950,0.000000,1,0,0.000000,0,true,converged,93.833383,93.919906,0.644786,0.000000,0.000000
rep_d80_s60_r0,0,replication,baseline,8070000,42,51,80.0,60.0,0.0,true,2075,0,96.743775,0.000000,1,0,0.000000,0,true,converged,96.783583,96.702969,0.693180,0.000000,0.000000
rep_d80_s65_r0,0,replication,baseline,8075000,53,51,80.0,65.0,0.0,true,2087,0,98.384560,0.000000,1,0,0.000000,0,true,converged,98.374335,98.394658,0.709650,0.000000,0.000000
